Id	DR	L	WP	W	SL	SW	P
H404_01	2.33	9.48	4.27	8.85	NaN	NaN	2
H404_02	2.94	8.34	4.74	8.99	NaN	NaN	1
H404_03	2.44	8.19	4.26	7.99	2.05	2.46	1
H404_04	2.3	7.55	3.9	8.82	NaN	NaN	1
H404_05	2.25	8.07	3.77	9.02	NaN	NaN	2
H404_06	2.25	9.38	4.38	8.8	NaN	NaN	1
H404_07	2.76	9.38	4.06	9.34	3.08	2.7	2
H404_08	2.78	9.33	4.48	9.75	2.33	2.52	2
H404_09	2.66	8.48	4.19	8.32	NaN	NaN	2
H404_10	2.86	8.89	4.21	9.07	NaN	NaN	2
H405_01	3.16	10.01	4.67	8.9	NaN	NaN	2
H405_02	3.51	9.76	5.02	9.94	NaN	NaN	2
H405_03	3.26	9.62	4.87	8.29	NaN	NaN	1
H405_04	3.83	9.85	4.43	8.39	NaN	NaN	2
H405_05	2.97	9.45	3.89	8.74	NaN	NaN	2
H405_06	3.24	9.67	3.85	8.26	1.37	2.2	2
H405_07	3.3	10.15	4.52	9.72	2.06	2	2
H405_08	3.15	9.71	4.39	8.25	2.01	2.17	2
H405_09	3.14	10.08	4.96	9.41	1.3	2.03	2
H405_10	3.16	9.97	4.25	9.1	NaN	NaN	2
H406_01	3.89	10.16	4.55	9.97	NaN	NaN	2
H406_02	3.53	10.92	4.97	10.33	1.73	2.89	2
H406_03	3.5	10.14	5.22	10.34	NaN	NaN	2
H406_04	3.48	9.93	5.32	9.31	2.05	2.08	2
H406_05	3.33	9.59	3.98	9.62	1.71	2.58	2
H406_06	3.24	9.29	4.42	9.27	1.26	2.4	1
H406_07	3.41	10.39	4.91	9.41	2.83	2.76	2
H406_08	3.45	9.78	4.64	9.79	2.49	2.19	2
H406_09	4.04	10.06	5	8.78	NaN	NaN	1
H406_10	3.63	10.02	4.08	8.61	NaN	NaN	2
H407_01	3.04	7.54	4.02	8.18	NaN	NaN	2
H407_02	2.57	8.12	4.54	7.51	NaN	NaN	2
H408_01	3.1	10.74	4.41	10.28	2.01	3.09	1
H408_02	3.03	10.18	4.84	10.16	2.51	2.53	1
H408_03	3.39	10.78	5.59	10.53	NaN	NaN	2
H408_04	2.98	9.62	5.16	9.55	NaN	NaN	2
H408_05	3.09	10.94	5.5	9.81	NaN	NaN	1
H408_06	2.97	11.21	6.03	10.34	2.16	2.63	1
H408_07	2.93	11.11	5.7	9.83	NaN	NaN	1
H408_08	3.1	10.37	4.84	9.72	2.58	2.32	2
H408_09	3.2	10.19	4.25	8.68	2.14	3.12	2
H408_10	2.95	10.53	5.34	8.78	2.65	3	1
HMAC004_01	2.81	11.44	6.46	8.24	NaN	NaN	1
HMAC004_02	3.25	11.54	6.05	9.05	NaN	NaN	2
HMAC004_03	2.63	11.9	7.63	8.59	NaN	NaN	2
HMAC004_04	2.91	11.32	8.19	8.29	NaN	NaN	1
HMAC004_05	2.41	9.96	5.25	8.06	NaN	NaN	2
HMAC004_06	2.5	12.28	8.07	7.61	NaN	NaN	1
HMAC004_07	3.35	11.39	7	9.28	NaN	NaN	1
HMAC004_08	3.51	9.34	4.97	8.57	NaN	NaN	2
HMAC004_09	2.88	12.95	6.38	8.66	NaN	NaN	1
HMAC004_10	2.57	NaN	NaN	NaN	NaN	NaN	1
HMAC006_01	3.01	8.64	4.49	8.46	2.45	2.28	3
HMAC006_02	2.61	8.36	5.28	7.45	1.86	1.35	2
HMAC006_03	2.88	9.79	5.43	9.56	1.89	2.67	3
HMAC006_04	3.34	10.98	6.16	9.62	3.14	3.38	2
HMAC006_05	4.09	8.96	4.47	8.08	NaN	NaN	3
HMAC006_06	2.83	8.57	4.55	8.56	2.31	2.38	3
HMAC006_07	3.43	10.08	5.78	8.97	NaN	NaN	3
HMAC006_08	3.13	10.23	5.83	9.11	NaN	NaN	3
HMAC006_09	2.75	9.52	6.07	8.55	2.13	2.68	3
HMAC006_10	2.98	10.6	6.01	9.38	NaN	NaN	2
HMAC007_01	2.98	9.44	4.5	8.18	NaN	NaN	2
HMAC007_02	2.82	9.32	3.76	8.17	NaN	NaN	2
HMAC007_03	2.7	8.6	5.6	7.53	NaN	NaN	2
HMAC007_04	3.27	9.83	5.5	9.39	NaN	NaN	2
HMAC007_05	3.38	8.04	4.07	6.37	1.81	3.12	2
HMAC008_01	2.98	9.99	5.25	8.37	2.03	2.63	1
HMAC008_02	2.83	NaN	NaN	NaN	1.34	2.1	1
HMAC008_03	2.99	11.17	7.26	7.17	2.29	1.9	1
HMAC010_01	3.06	9.49	5.65	8.47	NaN	NaN	2
HMAC010_02	2.85	9.54	5.29	8.8	NaN	NaN	2
HMAC010_03	3.43	8.86	5.49	8.39	2.41	2.55	2
HMAC010_04	2.83	9.98	6.02	8.53	NaN	NaN	3
HMAC010_05	3.19	9.52	5.78	8.06	1.91	2.85	3
HMAC010_06	3.2	8.35	5.41	8.4	2.32	3.26	2
HMAC010_07	2.78	7.64	3.83	7.36	2.03	3.23	2
HMAC010_08	3.43	9.31	5.7	8.58	2.17	2.35	2
HMAC010_09	3.67	9.57	5.63	8.39	NaN	NaN	2
HMAC010_10	3.46	9.4	5.89	8.6	NaN	NaN	2
HMAC011_01	3.5	11.3	5.79	9.13	NaN	NaN	1
HMAC011_02	3.2	13.19	7.72	9.21	3.37	3.03	1
HMAC011_03	2.61	10.11	5.37	7.87	3.16	3.27	2
HMAC011_04	2.72	10.52	5.86	8.34	NaN	NaN	1
HMAC011_05	3.36	12.08	7.52	9.28	NaN	NaN	2
HMAC011_06	3.3	10.28	5.57	9.19	NaN	NaN	2
HMAC011_07	3.09	10.74	7.21	7.7	NaN	NaN	1
HMAC011_08	2.7	10.77	6.35	8.74	NaN	NaN	1
HMAC011_09	2.8	10.28	6.24	7.05	NaN	NaN	1
HMAC011_10	2.73	10.97	5.1	8.45	NaN	NaN	1
HMAC101_01	3.09	9.68	4.63	7.86	1.37	2.04	2
HMAC101_02	2.18	10	5.29	6.46	NaN	NaN	2
HMAC101_03	2.62	10.1	6.11	7.97	1.4	1.97	2
HMAC104_01	2.74	10.44	5.51	8.33	1.26	1.75	2
HMAC104_02	2.72	9.37	2.7	7.13	1.65	1.75	2
HMAC104_03	2.5	9.41	5.94	8	2.2	1.52	2
HMAC104_04	2.51	9.49		7.91	NaN	NaN	2
HMAC104_05	2.76	8.59	3.76	7.19	1.57	1.72	2
HMAC105_01	3.34	11.98	7.62	7.89	3.16	2.65	1
HMAC105_02	2.99	9.12	4.85	6.78	1.75	1.33	1
HMAC105_03	2.93	12.29	6.25	7.77	NaN	NaN	1
HMAC202_01	2.62	11.84	4.64	7.64	NaN	NaN	1
HMAC202_02	2.8	11	5.85	8.03	3.28	3.01	1
HMAC202_03	2.19	11.9	6.17	8.74	NaN	NaN	1
HMAC202_04	2.37	12.16	6.11	7.93	NaN	NaN	1
HMAC501_01	3.11	10.31	5.34	11.37	NaN	NaN	2
HMAC501_02	3.28	NaN	NaN	NaN	NaN	NaN	2
