"ID"	"Population"	"Taxon"	"DR"	"L"	"WP"	"W"	"SL"	"SW"	"P"
"H404"	"4"	"MAC"	2.66	8.96666666666667	4.26666666666667	9.02666666666667	2.48666666666667	2.56	1.66666666666667
"H406"	"4"	"MAC"	3.40666666666667	9.98333333333333	4.70666666666667	9.62166666666667	2.01166666666667	2.48333333333333	1.83333333333333
"H408"	"4"	"MAC"	3.05833333333333	10.5366666666667	4.95166666666667	9.66	2.34166666666667	2.78166666666667	1.33333333333333
"HMAC006"	"0"	"L"	2.90333333333333	9.31	5.33	8.7	2.29666666666667	2.45666666666667	2.66666666666667
"HMAC007"	"0"	"L"	3.38	8.04	4.07	6.37	1.81	3.12	2
"HMAC008"	"0"	"R"	2.985	10.58	6.255	7.77	2.16	2.265	1
"HMAC010"	"0"	"L"	3.206	8.736	5.242	8.158	2.168	2.848	2.2
"HMAC011"	"0"	"R"	2.905	11.65	6.545	8.54	3.265	3.15	1.5
"HMAC101"	"1"	"L"	2.855	9.89	5.37	7.915	1.385	2.005	2
"HMAC104"	"1"	"L"	2.68	9.4525	4.4775	7.6625	1.67	1.685	2
"HMAC105"	"1"	"R"	3.165	10.55	6.235	7.335	2.455	1.99	1
"HMAC202"	"2"	"MAC"	2.8	11	5.85	8.03	3.28	3.01	1
"HMAC501"	"5"	"MAC"	3.096	10.304	4.908	10.546	2.09	2.686	2
"HMAC502"	"5"	"L"	3.452	9.098	4.832	8.854	2.588	3.158	2
"HMAC505"	"5"	"MAC"	3.35	11.695	5.04	10.625	3.835	3.935	1.5
"HMAC506"	"5"	"MAC"	3.16666666666667	12.8733333333333	5.64666666666667	10.57	3.80333333333333	3.97	2
"HMAC507"	"5"	"MAC"	2.975	10.045	5.845	8.2575	2.82	3.005	1.5
"HMAC508"	"5"	"MAC"	3.34	10.8033333333333	6.61333333333333	9.97	2.9	3.07666666666667	1.33333333333333
"HMAC510"	"5"	"MAC"	3.26	10.35	5.94	10.35	2.53	3.77	2
"HMAC601"	"6"	"MAC"	2.95	9.27	4.99	8.34	2.5	2.57	1
"HMAC602"	"6"	"MAC"	3.59777777777778	10.54	5.49666666666667	8.83888888888889	2.54888888888889	2.75666666666667	1
"HMAC603"	"6"	"MAC"	3.25	10.22375	5.7175	9.215	3.22	3.06625	1.125
"HMAC604"	"6"	"MAC"	3.45285714285714	12.5614285714286	6.34714285714286	9.71	3.83571428571429	3.89857142857143	1.42857142857143
"HMAC605"	"6"	"MAC"	3.64	13.42	7.20333333333333	9.92666666666667	4.56	3.57666666666667	1.33333333333333
"HMAC606"	"6"	"MAC"	3.16833333333333	9.67	5.49166666666667	8.59166666666667	3.09	2.93833333333333	1.16666666666667
"HMAC607"	"6"	"MAC"	3.91625	11.31375	5.36875	9.70625	2.12875	2.52	1.625
"HMAC608"	"6"	"MAC"	2.85833333333333	8.375	5.135	7.63833333333333	2.96666666666667	3.45166666666667	1
"HMAC609"	"6"	"MAC"	3.19875	10.3875	5.30125	9.38375	2.99375	3.46625	1.25
"HMAC610"	"6"	"MAC"	3.368	11.266	5.744	8.456	3.806	3.484	1.4
"HMAC801"	"8"	"MAC"	2.79	10.93	7.14	8.81	2.64	3.31	1
"HMAC802"	"8"	"MAC"	2.77142857142857	10.6642857142857	5.40857142857143	8.90571428571429	2.22857142857143	2.64857142857143	1.28571428571429
