Name	SSRs group	SSRs group_new	clone	L1	L2	L	R3	R1	M	R2	R
H401	MAC	MAC	1	0.005	0.408	0.413	0.001	0.582	0.001	0.002	0.585
H402	MAC	MAC	1	0.005	0.408	0.413	0.001	0.582	0.001	0.002	0.585
H403	R1	R1	2	0.014	0.022	0.036	0.002	0.952	0.008	0.002	0.956
H404	MAC	MAC	1	0.005	0.408	0.413	0.001	0.582	0.001	0.002	0.585
H405	R4	R3	3	0.005	0.003	0.008	0.988	0.001	0.001	0.001	0.99
H406	MAC	MAC	1	0.005	0.408	0.413	0.001	0.582	0.001	0.002	0.585
H407	MED	MED_L	4	0.599	0.027	0.626	0.006	0.013	0.345	0.01	0.029
H408	MAC	MAC	1	0.005	0.408	0.413	0.001	0.582	0.001	0.002	0.585
HMAC001	MED	MED	5	0.324	0.096	0.42	0.006	0.007	0.557	0.01	0.023
HMAC002	R4	R3	6	0.007	0.003	0.01	0.987	0.001	0.001	0.001	0.989
HMAC003	R1	R1	7	0.027	0.027	0.054	0.002	0.937	0.005	0.002	0.941
HMAC004	R4	R3	6	0.007	0.003	0.01	0.987	0.001	0.001	0.001	0.989
HMAC005	R1	R1	7	0.027	0.027	0.054	0.002	0.937	0.005	0.002	0.941
HMAC006	L1	L1	8	0.989	0.004	0.993	0.002	0.002	0.002	0.002	0.006
HMAC007	L1	L1	9	0.849	0.038	0.887	0.002	0.047	0.057	0.007	0.056
HMAC008	R4	R3	6	0.007	0.003	0.01	0.987	0.001	0.001	0.001	0.989
HMAC009	R4	R3	6	0.007	0.003	0.01	0.987	0.001	0.001	0.001	0.989
HMAC010	L1	L1	10	0.989	0.004	0.993	0.002	0.001	0.001	0.002	0.005
HMAC011	R4	R3	6	0.007	0.003	0.01	0.987	0.001	0.001	0.001	0.989
HMAC101	L1	L1	11	0.983	0.008	0.991	0.003	0.002	0.002	0.002	0.007
HMAC102	L1	L1	11	0.983	0.008	0.991	0.003	0.002	0.002	0.002	0.007
HMAC103	L1	L1	11	0.983	0.008	0.991	0.003	0.002	0.002	0.002	0.007
HMAC104	L1	L1	12	0.983	0.007	0.99	0.003	0.003	0.002	0.002	0.008
HMAC105	R4	R3	13	0.006	0.003	0.009	0.987	0.001	0.001	0.001	0.989
HMAC106	R4	R3	13	0.006	0.003	0.009	0.987	0.001	0.001	0.001	0.989
HMAC107	MED	MED_L	14	0.666	0.004	0.67	0.003	0.006	0.319	0.002	0.011
HMAC201	MAC	MAC	15	0.47	0.01	0.48	0.002	0.003	0.076	0.44	0.445
HMAC202	MAC	MAC_R	16	0.051	0.218	0.269	0.002	0.725	0.002	0.002	0.729
HMAC501	MAC	MAC	17	0.003	0.378	0.381	0.002	0.614	0.002	0.002	0.618
HMAC502	L2	L2	18	0.016	0.971	0.987	0.004	0.003	0.002	0.004	0.011
HMAC503	MAC	MAC	19	0.002	0.513	0.515	0.001	0.002	0.002	0.479	0.482
HMAC504	UNKN	UNKN	-	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
HMAC505	MAC	MAC_R	20	0.017	0.156	0.173	0.004	0.819	0.001	0.002	0.825
HMAC506	MAC	MAC_R	20	0.017	0.156	0.173	0.004	0.819	0.001	0.002	0.825
HMAC507	MAC	MAC	21	0.011	0.448	0.459	0.002	0.532	0.003	0.003	0.537
HMAC508	MAC	MAC	22	0.002	0.414	0.416	0.001	0.579	0.002	0.003	0.583
HMAC509	MAC	MAC	22	0.002	0.414	0.416	0.001	0.579	0.002	0.003	0.583
HMAC510	MAC	MAC	22	0.002	0.414	0.416	0.001	0.579	0.002	0.003	0.583
HMAC601	MAC	MAC	23	0.003	0.512	0.515	0.003	0.466	0.014	0.003	0.472
HMAC602	MAC	MAC	23	0.003	0.512	0.515	0.003	0.466	0.014	0.003	0.472
HMAC603	MAC	MAC	23	0.003	0.512	0.515	0.003	0.466	0.014	0.003	0.472
HMAC604	MAC	MAC_R	24	0.019	0.149	0.168	0.002	0.823	0.005	0.002	0.827
HMAC605	MAC	MAC_R	24	0.019	0.149	0.168	0.002	0.823	0.005	0.002	0.827
HMAC606	MAC	MAC	23	0.003	0.512	0.515	0.003	0.466	0.014	0.003	0.472
HMAC607	MAC	MAC	25	0.005	0.624	0.629	0.002	0.365	0.002	0.002	0.369
HMAC608	MAC	MAC	23	0.003	0.512	0.515	0.003	0.466	0.014	0.003	0.472
HMAC609	MAC	MAC	26	0.002	0.473	0.475	0.001	0.52	0.001	0.003	0.524
HMAC610	MAC	MAC	27	0.003	0.422	0.425	0.002	0.568	0.003	0.003	0.573
HMAC611	L2	L2	28	0.004	0.981	0.985	0.002	0.003	0.003	0.007	0.012
HMAC801	MAC	MAC_R	29	0.018	0.229	0.247	0.002	0.744	0.003	0.004	0.75
HMAC802	MAC	MAC_R	29	0.018	0.229	0.247	0.002	0.744	0.003	0.004	0.75
HMAC803	MAC	MAC	30	0.005	0.345	0.35	0.002	0.645	0.002	0.002	0.649
HMAC804	MAC	MAC	31	0.001	0.47	0.471	0.001	0.524	0.002	0.001	0.526
HMAC805	MAC	MAC_R	29	0.018	0.229	0.247	0.002	0.744	0.003	0.004	0.75
HMAC806	MAC	MAC_R	29	0.018	0.229	0.247	0.002	0.744	0.003	0.004	0.75
HMAC807	MAC	MAC_R	29	0.018	0.229	0.247	0.002	0.744	0.003	0.004	0.75
HMAC808	MAC	MAC_M	32	0.016	0.614	0.63	0.006	0.268	0.089	0.007	0.281
HMAC901	MAC	MAC_R	33	0.002	0.213	0.215	0.001	0.779	0.003	0.002	0.782
HMED101	MED	MED	34	0.602	0.004	0.606	0.02	0.009	0.361	0.003	0.032
HMED102	UNKN	UNKN	-	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
HMED103	MED	MED_L	35	0.587	0.011	0.598	0.004	0.038	0.223	0.137	0.179
HMED201	MAC	MAC_M	36	0.629	0.005	0.634	0.22	0.008	0.131	0.007	0.235
HMED202	MED	MED_L	37	0.693	0.006	0.699	0.015	0.012	0.239	0.035	0.062
HMED203	MED	MED	38	0.459	0.007	0.466	0.003	0.013	0.48	0.038	0.054
HMED204	MED	MED	39	0.357	0.007	0.364	0.002	0.005	0.627	0.003	0.01
HMED205	L1	L1	40	0.92	0.013	0.933	0.003	0.007	0.053	0.003	0.013
HMED206	MED	MED	41	0.466	0.007	0.473	0.003	0.006	0.514	0.004	0.013
HMED207	MED	MED_L	42	0.8	0.003	0.803	0.007	0.016	0.167	0.007	0.03
HMED208	MED	MED_L	43	0.789	0.014	0.803	0.003	0.017	0.172	0.004	0.024
HMED209	L1	L1	44	0.982	0.006	0.988	0.005	0.003	0.003	0.002	0.01
HMED210	M	M	45	0.002	0.002	0.004	0.005	0.009	0.979	0.003	0.017
HMED301	MED	MED	46	0.246	0.139	0.385	0.01	0.027	0.568	0.01	0.047
HS001	MED	MED	47	0.498	0.024	0.522	0.003	0.02	0.45	0.005	0.028
HS101	R4	R3	48	0.007	0.007	0.014	0.938	0.005	0.038	0.005	0.948
HS102	R4	R3	49	0.002	0.001	0.003	0.97	0.01	0.016	0.002	0.982
L001	L1	L1	50	0.957	0.016	0.973	0.003	0.017	0.003	0.004	0.024
L002	L1	L1	51	0.99	0.004	0.994	0.002	0.002	0.001	0.002	0.006
L003	L1	L1	52	0.988	0.006	0.994	0.001	0.002	0.001	0.002	0.005
L004	L1	L1	53	0.986	0.008	0.994	0.002	0.002	0.001	0.002	0.006
L005	L1	L	54	0.723	0.269	0.992	0.002	0.002	0.002	0.002	0.006
L006	L1	L1	55	0.968	0.021	0.989	0.002	0.003	0.003	0.004	0.009
L007	L1	L1	56	0.961	0.031	0.992	0.002	0.002	0.002	0.002	0.006
L008	L1	L1	57	0.982	0.01	0.992	0.002	0.002	0.002	0.002	0.006
L009	L1	L1	58	0.983	0.01	0.993	0.001	0.002	0.002	0.002	0.005
L010	L1	L1	59	0.981	0.011	0.992	0.002	0.002	0.002	0.003	0.007
L011	L1	L1	60	0.912	0.075	0.987	0.002	0.005	0.003	0.004	0.011
